id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-03-02,2,452.0,131.25,ES,CHEQUE
2,2026-03-02,6,35.59,128.75,FR,VIREMENT
3,2026-03-02,10,56.63,38.73,ES,VIREMENT
4,2026-03-02,2,322.38,507.89,DE,VIREMENT
5,2026-03-02,7,388.91,468.63,DE,VIREMENT
6,2026-03-02,6,292.79,32.83,FR,CB
7,2026-03-02,3,337.4,522.53,FR,VIREMENT
8,2026-03-02,1,387.51,418.78,FR,CHEQUE
9,2026-03-02,5,461.24,293.65,IT,PAYPAL
10,2026-03-02,10,242.11,434.57,IT,PAYPAL
11,2026-03-02,2,370.18,146.83,FR,VIREMENT
12,2026-03-02,8,215.97,391.49,ES,VIREMENT
13,2026-03-02,9,199.13,87.29,ES,CHEQUE
14,2026-03-02,5,286.0,140.47,FR,CB
15,2026-03-02,1,266.92,559.44,DE,CB
16,2026-03-02,3,279.82,391.44,DE,PAYPAL
17,2026-03-02,9,194.94,443.14,DE,VIREMENT
18,2026-03-02,1,51.84,343.6,IT,CB
19,2026-03-02,1,172.74,481.99,ES,VIREMENT
20,2026-03-02,2,68.83,392.28,IT,PAYPAL
