id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-03-16,6,444.31,406.02,ES,CB
2,2026-03-16,1,15.01,454.04,ES,PAYPAL
3,2026-03-16,2,317.14,472.07,IT,VIREMENT
4,2026-03-16,4,88.23,513.04,IT,CB
5,2026-03-16,4,187.96,26.1,FR,CHEQUE
6,2026-03-16,7,454.35,476.78,ES,CHEQUE
7,2026-03-16,10,268.1,141.43,DE,CHEQUE
8,2026-03-16,2,356.75,577.22,IT,PAYPAL
9,2026-03-16,8,15.94,541.93,FR,CHEQUE
10,2026-03-16,2,74.83,94.4,FR,CHEQUE
11,2026-03-16,2,188.78,418.32,FR,CHEQUE
12,2026-03-16,3,271.43,520.36,IT,VIREMENT
13,2026-03-16,8,447.98,132.74,DE,CHEQUE
14,2026-03-16,5,264.91,189.99,IT,VIREMENT
15,2026-03-16,10,27.38,438.55,DE,CHEQUE
