id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-02-26,8,463.46,318.36,DE,VIREMENT
2,2026-02-26,7,120.13,65.05,FR,CB
3,2026-02-26,3,353.54,19.59,DE,CB
4,2026-02-26,6,266.66,136.6,ES,VIREMENT
5,2026-02-26,5,259.3,589.92,DE,VIREMENT
6,2026-02-26,5,127.16,271.27,IT,PAYPAL
7,2026-02-26,5,188.18,279.22,DE,PAYPAL
8,2026-02-26,6,191.88,114.0,ES,VIREMENT
9,2026-02-26,9,102.55,52.62,IT,CB
10,2026-02-26,2,129.33,553.49,FR,PAYPAL
11,2026-02-26,7,489.31,456.65,FR,PAYPAL
12,2026-02-26,8,207.73,385.1,FR,PAYPAL
13,2026-02-26,1,17.63,374.35,FR,PAYPAL
14,2026-02-26,4,71.07,256.51,IT,VIREMENT
15,2026-02-26,3,89.24,240.22,IT,VIREMENT
16,2026-02-26,8,418.98,204.68,DE,PAYPAL
17,2026-02-26,1,145.46,42.5,ES,VIREMENT
18,2026-02-26,6,15.61,492.44,IT,PAYPAL
19,2026-02-26,5,442.61,289.36,DE,CB
20,2026-02-26,10,71.61,516.21,ES,CB
