id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-03-17,10,55.5,199.88,IT,CHEQUE
2,2026-03-17,4,186.14,399.06,ES,VIREMENT
3,2026-03-17,6,193.91,162.51,ES,VIREMENT
4,2026-03-17,9,82.15,361.2,ES,CB
5,2026-03-17,5,369.48,307.8,DE,PAYPAL
6,2026-03-17,7,219.82,348.92,FR,PAYPAL
7,2026-03-17,5,30.95,416.13,ES,VIREMENT
8,2026-03-17,1,459.41,65.25,IT,CHEQUE
9,2026-03-17,1,307.8,30.71,ES,VIREMENT
10,2026-03-17,10,111.89,162.23,DE,PAYPAL
11,2026-03-17,4,372.52,254.73,DE,CB
12,2026-03-17,8,313.74,404.48,ES,PAYPAL
13,2026-03-17,3,295.25,59.6,FR,CB
14,2026-03-17,3,75.83,571.9,IT,CHEQUE
15,2026-03-17,10,277.38,347.62,DE,PAYPAL
