id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-03-16,3,35.78,439.12,FR,PAYPAL
2,2026-03-16,8,441.26,296.28,ES,VIREMENT
3,2026-03-16,4,289.42,109.72,IT,CHEQUE
4,2026-03-16,3,210.92,518.79,FR,VIREMENT
5,2026-03-16,7,80.78,487.46,DE,PAYPAL
6,2026-03-16,7,140.55,269.12,ES,CB
7,2026-03-16,5,68.82,521.46,IT,VIREMENT
8,2026-03-16,2,437.15,433.37,DE,CHEQUE
9,2026-03-16,9,200.11,107.67,FR,CHEQUE
10,2026-03-16,6,220.15,106.72,ES,CHEQUE
11,2026-03-16,9,65.75,74.24,IT,PAYPAL
12,2026-03-16,5,123.76,114.94,FR,CHEQUE
13,2026-03-16,4,27.97,77.65,FR,CHEQUE
14,2026-03-16,2,72.11,454.52,DE,VIREMENT
15,2026-03-16,4,409.45,566.24,ES,CB
16,2026-03-16,7,120.87,301.6,DE,CHEQUE
17,2026-03-16,9,372.65,517.98,DE,VIREMENT
18,2026-03-16,3,343.29,136.14,ES,CHEQUE
19,2026-03-16,4,397.83,328.92,ES,PAYPAL
20,2026-03-16,2,138.56,311.94,DE,CHEQUE
