id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-02-25,5,401.82,208.94,ES,PAYPAL
2,2026-02-25,10,452.33,100.26,FR,CB
3,2026-02-25,6,85.0,515.64,DE,CHEQUE
4,2026-02-25,3,332.42,234.76,FR,CB
5,2026-02-25,5,254.83,238.7,FR,PAYPAL
6,2026-02-25,4,171.48,546.17,ES,PAYPAL
7,2026-02-25,2,290.11,205.56,ES,CHEQUE
8,2026-02-25,6,17.19,343.76,ES,PAYPAL
9,2026-02-25,7,92.49,434.27,DE,PAYPAL
10,2026-02-25,10,227.78,56.42,FR,PAYPAL
11,2026-02-25,8,185.67,372.9,FR,PAYPAL
12,2026-02-25,2,467.29,595.95,ES,VIREMENT
13,2026-02-25,9,232.3,519.57,IT,PAYPAL
14,2026-02-25,3,418.4,432.89,ES,VIREMENT
15,2026-02-25,4,185.36,474.94,FR,CB
