id_facture,date_facture,id_client,montant_ht,montant_ttc,pays,mode_paiement
1,2026-03-17,4,131.36,152.56,ES,CB
2,2026-03-17,4,262.43,395.87,DE,CB
3,2026-03-17,1,273.83,245.47,IT,VIREMENT
4,2026-03-17,10,33.87,48.68,ES,VIREMENT
5,2026-03-17,8,137.14,457.1,FR,VIREMENT
6,2026-03-17,6,70.69,196.07,FR,PAYPAL
7,2026-03-17,8,484.84,435.17,DE,VIREMENT
8,2026-03-17,9,80.28,129.22,IT,VIREMENT
9,2026-03-17,1,445.92,513.92,DE,VIREMENT
10,2026-03-17,10,281.7,18.98,DE,CHEQUE
11,2026-03-17,9,106.07,316.37,DE,CHEQUE
12,2026-03-17,2,443.59,525.35,IT,CB
13,2026-03-17,10,494.65,360.1,ES,CB
14,2026-03-17,1,92.35,503.4,IT,VIREMENT
15,2026-03-17,5,68.25,124.8,ES,CB
16,2026-03-17,6,39.31,314.99,ES,CHEQUE
17,2026-03-17,7,386.63,221.07,IT,VIREMENT
18,2026-03-17,8,201.76,42.23,FR,VIREMENT
19,2026-03-17,2,312.99,60.88,IT,CHEQUE
20,2026-03-17,1,153.51,34.39,FR,CB
